source,target,weight
live,associate,1
live,barrack,2
live,bath,1
live,color,1
live,come,1
live,condition,3
live,create,1
live,different,2
live,eat,4
live,fight,1
live,gut,1
live,habit,1
live,large,1
live,mexican,1
live,negro,2
live,negroe,3
live,outfit,1
live,race,1
live,reason,1
live,roof,1
live,room,1
live,section,1
live,separate,1
live,sleep,3
live,stomach,1
live,tighter,1
live,train,1
live,trouble,1
live,war,1
live,white,1
live,work,1
living,different,3
living,idea,1
living,negroe,1
living,speech,1
living,standard,2
locale,station,1
long,time,1
look,better,1
look,dirty,1
look,disrespect,1
look,good,1
look,inferior,1
look,negro,1
look,poor,1
lose,control,1
lose,life,1
lose,place,1
lose,war,1
lost,army,1
lost,motion,1
lot,better,5
lot,bunk,1
lot,camp,1
lot,class,1
lot,deletion,1
lot,discord,1
lot,discrimination,1
lot,dissention,1
lot,fellow,1
lot,fight,1
lot,friction,1
lot,happier,1
lot,lower,1
lot,negro,2
lot,Negroes,1
lot,nonsense,1
lot,outfit,2
lot,racial,1
lot,separate,3
lot,soldier,3
lot,start,1
lot,time,1
lot,trouble,2
lot,white,1
lot,whites,1
love,hold,1
lower,class,1
lower,efficiency,1
lower,hygene,1
lower,living,1
lower,moral,2
lower,morale,3
lower,standard,2
Lower,standard,1
Lower,white,1
lowere,prejudice,1
M.P.,unit,1
maintain,discipline,1
majority,give,1
majority,negroe,1
majority,people,1
majority,unclean,1
make,adjustment,1
make,best,1
make,better,14
make,bunch,1
make,C.o,1
make,change,2
make,combat,1
make,deal,1
make,difference,9
make,efficiency,1
make,feeling,1
make,fight,1
make,fighting,2
make,good,3
make,grave,1
make,keep,1
make,like,1
make,look,1
make,man,1
make,married,1
make,mass,1
make,mistake,1
make,negro,1
make,non-com,1
make,outfit,5
make,poor,1
make,post-war,1
make,race,1
make,soldier,7
make,statement,1
make,team,2
make,tend,1
make,thing,1
make,training,1
make,trouble,1
make,try,1
make,unit,2
man,army,1
man,attitude,1
man,bad,1
man,bath,1
man,believe,1
man,better,3
man,bunch,1
man,capacity,1
man,cent,2
man,class,1
man,clean,1
man,color,3
man,colored,1
man,come,1
man,control,1
man,die,1
man,differ,1
man,dislike,1
