FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
18,Indiana,IN,0.144,950720,1.3,SNAP,1.85,Other Nutrition Program,0.537550488051161,0.172374621339616,0.290558734432851,0.191,301990,0.72,0.28,2.61,445335000,2015
19,Iowa,IA,0.12,376240,1.6,SNAP,1.85,Other Nutrition Program,0.538060812247502,0.0789123963427599,0.383319157984265,0.167,121550,0.6,0.4,2.67,179954000,2015
20,Kansas,KS,0.132,385000,1.3,SNAP,1.85,Other Nutrition Program,0.484077922077922,0.170311688311688,0.34587012987013,0.192,138480,0.65,0.35,2.84,195772000,2015
21,Kentucky,KY,0.158,699590,1.3,SNAP,1.85,Other Nutrition Program,0.57599451107077,0.151374376420475,0.272845523806801,0.2,202050,0.74,0.26,2.67,334999000,2015
22,Louisiana,LA,0.169,789330,1.3,SNAP,1.85,Other Nutrition Program,0.575234692714074,0.150963475352514,0.273801831933412,0.234,261230,0.72,0.28,2.81,397791000,2015
23,Maine,ME,0.148,196210,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.629682483053871,,0.370368482748076,0.214,54830,0.64,0.36,3.31,116402000,2015
24,Maryland,MD,0.114,682280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.619760215747201,,0.380239784252799,0.163,220010,0.59,0.41,3.03,370097000,2015
25,Massachusetts,MA,0.103,701630,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.668514744238416,,0.331513760814104,0.135,187290,0.68,0.32,3.25,408919000,2015
26,Michigan,MI,0.151,1493790,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.739247149867117,,0.260752850132883,0.18,397070,0.7,0.3,2.76,739172000,2015
27,Minnesota,MN,0.099,540820,1.65,SNAP,1.85,Other Nutrition Program,0.602363078288525,0.0605931733293887,0.33691431529899,0.138,177080,0.7,0.3,2.91,282661000,2015
