dpid,full_address
271190001689,"22545 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001691,"42578 230TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001692,"42532 230TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001694,"22796 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001733,"23357 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001734,"23271 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001735,"23295 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001747,"42424 240TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001750,"41968 240TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001696,"42280 230TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001701,"42265 220TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001710,"43321 220TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001711,"22435 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001712,"22285 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001764,"23469 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001766,"23424 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001770,"23677 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001674,"41327 225TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001677,"41472 225TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001722,"22691 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001705,"43219 220TH ST SW, EAST GRAND FORKS, MN, 56721"
271190001707,"22099 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001772,"23039 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001773,"23101 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001793,"23334 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001794,"23464 417TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001753,"23535 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001754,"23454 430TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001756,"23865 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001788,"23219 STATE HIGHWAY 220 SW, FISHER, MN, 56723"
271190001790,"41178 235TH ST SW, FISHER, MN, 56723"
271190029947,"23339 STATE HIGHWAY 220 SW, FISHER, MN, 56723"
271190001758,"23625 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001760,"23769 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001761,"23677 425TH AVE SW, EAST GRAND FORKS, MN, 56721"
271190001798,"40976 235TH ST SW, FISHER, MN, 56723"
271190001800,"40969 235TH ST SW, FISHER, MN, 56723"
271190001784,"23821 STATE HIGHWAY 220 SW, FISHER, MN, 56723"
271190001854,"41244 245TH ST SW, FISHER, MN, 56723"
271190001855,"41240 245TH ST SW, FISHER, MN, 56723"
271190001856,"41298 245TH ST SW, FISHER, MN, 56723"
271190001857,"41250 245TH ST SW, FISHER, MN, 56723"
271190001843,"40956 245TH ST SW, FISHER, MN, 56723"
271190001844,"40916 245TH ST SW, FISHER, MN, 56723"
271190001858,"41020 245TH ST SW, FISHER, MN, 56723"
271190001859,"41020 245TH ST SW, FISHER, MN, 56723"
