dpid,total_numberof_rooms,numberof_bedrooms,numberof_baths,full_address
290610006820,0,0,100,"607 N MAIN ST, GALLATIN, MO, 64640"
290610006829,0,0,100,"708 N ADAMS ST, GALLATIN, MO, 64640"
290610006843,0,0,100,"401 GEORGE ALLEN ST, GALLATIN, MO, 64640"
290610006844,0,0,100,"305 GEORGE ALLEN ST, GALLATIN, MO, 64640"
290610006847,0,0,100,"301 LEE ST, GALLATIN, MO, 64640"
290610006822,0,0,100,"511 N MAIN ST, GALLATIN, MO, 64640"
290610006826,0,0,100,"205 CENTER ST, GALLATIN, MO, 64640"
290610006849,0,0,100,"502 N WATER ST, GALLATIN, MO, 64640"
290610006854,0,0,100,"511 N DAVIESS ST, GALLATIN, MO, 64640"
290610006855,0,0,100,"507 N DAVIESS ST, GALLATIN, MO, 64640"
290610006879,0,0,100,"411 E CORRINE ST, GALLATIN, MO, 64640"
290610006881,0,0,100,"407 N ADAMS ST, GALLATIN, MO, 64640"
290610006867,0,0,100,"411 N CORAL ST, GALLATIN, MO, 64640"
290610006870,0,0,100,"306 PARK ST, GALLATIN, MO, 64640"
290610006872,0,0,100,"301 E CORRINE ST, GALLATIN, MO, 64640"
290610010593,0,0,100,"401 PARK ST, GALLATIN, MO, 64640"
290610006862,0,0,100,"405 PARK ST, GALLATIN, MO, 64640"
290610006863,0,0,100,"409 PARK ST, GALLATIN, MO, 64640"
290610006865,0,0,100,"412 PARK ST, GALLATIN, MO, 64640"
290610006885,0,0,100,"203 E CORRINE ST, GALLATIN, MO, 64640"
290610006886,0,0,100,"205 E CORRINE ST, GALLATIN, MO, 64640"
290610006887,0,0,100,"211 E CORRINE ST, GALLATIN, MO, 64640"
290610006873,0,0,100,"307 E CORRINE ST, GALLATIN, MO, 64640"
290610006874,0,0,100,"409 N CORAL ST, GALLATIN, MO, 64640"
290610006875,0,0,100,"401 E CORRINE ST, GALLATIN, MO, 64640"
290610006876,0,0,100,"403 E CORRINE ST, GALLATIN, MO, 64640"
290610006877,0,0,100,"409 E CORRINE ST, GALLATIN, MO, 64640"
290610006878,0,0,100,"407 E CORRINE ST, GALLATIN, MO, 64640"
290610006856,0,0,100,"501 N DAVIESS ST, GALLATIN, MO, 64640"
290610006857,0,0,100,"502 N MARKET ST, GALLATIN, MO, 64640"
290610006860,0,0,100,"311 PARK ST, GALLATIN, MO, 64640"
290610006861,0,0,100,"301 PARK ST, GALLATIN, MO, 64640"
290610006891,0,0,100,"201 W CORRINE ST, GALLATIN, MO, 64640"
290610006896,0,0,100,"205 W CORRINE ST, GALLATIN, MO, 64640"
290610006897,0,0,100,"406 N DAVIESS ST, GALLATIN, MO, 64640"
290610006920,0,0,100,"309 N MAIN ST, GALLATIN, MO, 64640"
290610006921,0,0,100,"311 N MAIN ST, GALLATIN, MO, 64640"
290610006923,0,0,100,"402 E CORRINE ST, GALLATIN, MO, 64640"
290610006924,0,0,100,"309 N CLAY ST, GALLATIN, MO, 64640"
290610006925,0,0,100,"306 E CORRINE ST, GALLATIN, MO, 64640"
290610006932,0,0,100,"614 PARK ST, GALLATIN, MO, 64640"
290610006933,0,0,100,"612 PARK ST, GALLATIN, MO, 64640"
290610006934,0,0,100,"610 PARK ST, GALLATIN, MO, 64640"
290610006935,0,0,100,"508 PARK ST, GALLATIN, MO, 64640"
290610006936,0,0,100,"506 PARK ST, GALLATIN, MO, 64640"
290610006944,0,0,100,"511 E CORRINE ST, GALLATIN, MO, 64640"
290610006945,0,0,100,"601 E CORRINE ST, GALLATIN, MO, 64640"
290610006946,0,0,100,"611 E CORRINE ST, GALLATIN, MO, 64640"
290610006908,0,0,100,"310 N MAIN ST, GALLATIN, MO, 64640"
290610006910,0,0,100,"307 N MARKET ST, GALLATIN, MO, 64640"
290610006911,0,0,100,"312 N MARKET ST, GALLATIN, MO, 64640"
290610006912,0,0,100,"310 N MARKET ST, GALLATIN, MO, 64640"
290610006937,0,0,100,"504 PARK ST, GALLATIN, MO, 64640"
290610006938,0,0,100,"502 PARK ST, GALLATIN, MO, 64640"
290610006939,0,0,100,"501 E CORRINE ST, GALLATIN, MO, 64640"
290610006941,0,0,100,"503 E CORRINE ST, GALLATIN, MO, 64640"
290610006942,0,0,100,"505 E CORRINE ST, GALLATIN, MO, 64640"
