Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Connecticut,Housing Units,Table Download,Households With Children,"Location, Housing Tenure Type, Household Type, Households, MOE","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Total Households by County,"Location, Total Households, MOE","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Total Households by Town,"Location, Total Households, MOE","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Permits,Table Download,Annual Housing Permits by County,"Location, Housing Permits","State, County",Census Bureau,Department of Economic and Community Development,N,N,As released,2017,Y,N,N,,
,Connecticut,Permits,Table Download,Annual Housing Permits by Town,"Location, Housing Permits","State, Town",Census Bureau,Department of Economic and Community Development,N,N,As released,2017,Y,N,N,,
,Connecticut,Housing Units,Table Download,Distribution of Home Sales,"Location, Price Range, Number of Home Sales","State, Town, County",,Office of Policy and Management,N,N,Biannually,2017,Y,N,N,,
,Connecticut,Foreclosures,Table Download,Foreclosures,"Location, Foreclosure Type, Year ","State, Town",,Housing Finance Authority,N,N,Annually,2016,Y,N,N,,
,Connecticut,Housing Units,Table Download,Housing Tenure by Race and Ethnicity by County,"Location, Race/Ethnicity, Tenure, Occupied Housing Units, MOE","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Housing Tenure by Race and Ethnicity by Town,"Location, Race/Ethnicity, Tenure, Occupied Housing Units, MOE","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Median Home Value by County,"Location, Measure Type, Median Home Value","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Median Home Value by Town,"Location, Measure Type, Median Home Value","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Median Rent by County,"Location, Measure Type, Median Rent, ME","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Median Rent by Town,"Location, Measure Type, Median Rent, ME","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Subsidized Housing by Type,"Total Housing Units, Government Assisted, CHFA/USDA Mortgage, Deed Restrictions, Tenant Rental Assistance, Total Assisted","State, Town, County",ACS,Department of Housing,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Total Housing Units by County,"Location, Occupancy Status, Housing Units","State, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Total Housing Units by Town,"Location, Occupancy Status, Housing Units","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Units,Table Download,Single Housing Units by Town,"Location, Unit Type, Housing Units","State, Town, County",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Residential Mobility,Table Download,Residential Mobility by Poverty Status,"Location, Poverty Status, Mobility, Residential Mobility, MOE","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Residential Mobility,Table Download,Residential Mobility by Race and Ethnicity,"Location, Race/Ethnicity, Mobility, Residential Mobility, MOE","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Residential Mobility,Table Download,Residential Mobility by Poverty Tenure,"Location, Tenure, Mobility, Residential Mobility, MOE","State, Town",ACS,,N,N,As released,2019,Y,N,N,,
,Connecticut,Housing Prices / Rent,Table Download,Connected Measured by 2020 ACS,Median home value,"State, Town",ACS,,N,N,As released,2020,N,N,N,,
,Delaware,Housing Units,Table Download,Housing Units 2010,"County, Tract, Block, Acres, Total Housing Units, Occupied, Vacant","County, Census Tract, Block",Decennial Census,,N,N,As released,2010,N,N,N,,
,District of Columbia,Housing Characteristics,Infographic,Demographic Data At A Glance,"Homeownership Rate (%), Households (#), Median Rent ($)",State,CPS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Characteristics,Infographic,"District of Colombia Profile, 2017-2021","Total households, Total families, Average family size, Average household size, Households with own children under 18, Living alone, Housing units, Owner households, Median home value, renter households, median rent",State,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Characteristics,Infographic,Ward Profiles,"Total households, Average household size, Housing units, Median rent, Owner households, Median home value,",State,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Occupancy,Map,"Percentage of Owner-Occupied Households by Ward, 2017-2021",Owner occupied households,Ward,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Occupancy,Map,"Percentage of Renter-Occupied Households by Ward, 2017-2021",Renter occupied households,Ward,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,,,,,,,,,,,,,,,,
