"id","gender","degree_highest","date_enter_job_market"
5937401,NA,"bachelor",1989-01-01
5931691,"male","associate",1997-08-01
5928597,NA,NA,1981-09-01
5945726,"male","bachelor",1993-11-01
5942214,"male",NA,NA
35501,"male","master",1993-01-01
2325643,"male","master",1974-01-01
2340999,"male","master",1980-01-01
2483973,"male",NA,2003-09-01
2347755,"male","master",1985-01-01
2798980,NA,NA,1999-09-01
2475583,"male",NA,1999-08-01
3814370,"male",NA,1981-01-01
6959280,"female",NA,2008-08-01
6908987,"male","bachelor",1998-03-01
7769328,"female",NA,1985-04-01
7801586,"male","master",1985-01-01
7734439,"female","bachelor",1982-09-01
6933890,"male",NA,1996-04-01
7007259,NA,NA,1994-01-01
7786890,"male","master",1975-01-01
7715468,"female",NA,2001-08-01
7735334,"male",NA,2005-06-01
7187677,"male",NA,1972-01-01
8617613,"female","master",1997-06-01
17098078,"female","highschool",1984-01-01
18001888,"male",NA,1996-12-01
8617458,"male",NA,2008-02-01
8621657,"male",NA,1982-06-01
8621658,"male",NA,1987-09-01
7240826,"male",NA,1997-01-01
17990212,"male","bachelor",2001-06-01
8620777,NA,"master",1996-01-01
7230430,"female",NA,1986-01-01
18033299,"female","bachelor",2005-01-01
17993955,"male","master",2005-02-01
17992980,"male","associate",2003-01-01
14816838,NA,NA,2000-01-01
17109256,"male","master",1996-03-01
18000174,"male","master",2003-10-01
14028877,"male","associate",1984-01-01
18017504,"male",NA,2001-03-01
18010795,"male","bachelor",2003-05-01
17993623,"female","bachelor",1994-01-01
8621656,"male",NA,1987-09-01
14836118,NA,"certificate",1995-06-01
8652597,"male","master",1994-01-01
8682713,NA,NA,2004-09-01
8684478,"male",NA,2003-10-01
8621892,"male",NA,2001-01-01
17302008,"male",NA,2005-02-01
