item1,item2,correlation
town,close,0.120077442
close,town,0.120077442
5,privat,0.120021276
privat,5,0.120021276
treat,offic,0.120011228
offic,treat,0.120011228
hour,sleep,0.119856429
sleep,hour,0.119856429
give,furlough,0.119838476
furlough,give,0.119838476
mind,armi,0.119775428
armi,mind,0.119775428
strike,war,0.119561421
war,strike,0.119561421
posit,qualifi,0.119539394
classif,qualifi,0.119539394
qualifi,posit,0.119539394
classif,mechan,0.119539394
low,break,0.119539394
break,low,0.119539394
qualifi,classif,0.119539394
mechan,classif,0.119539394
like,action,0.119366044
presid,action,0.119366044
power,nation,0.119366044
nation,power,0.119366044
action,like,0.119366044
action,presid,0.119366044
choos,branch,0.119335824
branch,choos,0.119335824
carri,time,0.119305676
time,carri,0.119305676
world,war,0.119276032
war,world,0.119276032
satisfi,corp,0.119166605
corp,satisfi,0.119166605
tell,enlist,0.119143983
enlist,tell,0.119143983
call,hand,0.119064174
system,experi,0.119064174
hand,call,0.119064174
experi,system,0.119064174
abil,duti,0.118917669
duti,abil,0.118917669
child,teach,0.118855527
teach,child,0.118855527
result,extra,0.118755327
extra,result,0.118755327
live,freedom,0.118719456
freedom,live,0.118719456
transport,citi,0.118602248
superior,clean,0.118602248
20,30,0.118602248
citi,transport,0.118602248
30,20,0.118602248
clean,superior,0.118602248
transport,furlough,0.118551669
furlough,transport,0.118551669
separ,race,0.118412542
race,separ,0.118412542
peac,hand,0.1182398
southern,north,0.1182398
north,southern,0.1182398
hand,peac,0.1182398
week,basic,0.118150991
basic,week,0.118150991
abil,polit,0.11812839
polit,abil,0.11812839
infantri,corp,0.118121413
classif,corp,0.118121413
corp,infantri,0.118121413
corp,classif,0.118121413
underlin,drill,0.117891337
drill,underlin,0.117891337
educ,experi,0.117797781
experi,educ,0.117797781
care,meal,0.117790304
meal,care,0.117790304
deserv,pick,0.117628417
pick,deserv,0.117628417
enjoi,mile,0.117628417
mile,enjoi,0.117628417
hour,oversea,0.117323451
oversea,hour,0.117323451
deserv,privat,0.117255629
privat,deserv,0.117255629
major,qualifi,0.117096884
qualifi,major,0.117096884
break,poor,0.117023086
poor,break,0.117023086
limit,duti,0.116972321
duti,limit,0.116972321
natur,differ,0.116769615
southern,hate,0.116769615
hate,southern,0.116769615
differ,natur,0.116769615
bui,wear,0.116769615
TRUE,help,0.116769615
wear,bui,0.116769615
help,TRUE,0.116769615
1,guard,0.116726524
guard,1,0.116726524
treat,negro,0.116466233
negro,treat,0.116466233
pai,hour,0.116463675
hour,pai,0.116463675
