word1,word2,n
infantry,soldier,2
inferior,race,2
inferiority,complex,2
insure,victory,2
iq,test,2
isolated,camp,2
jackson,s.c,2
jesus,christ,2
job,pay,2
kick,hell,2
klux,klan,2
lake,brother,2
lasting,peace,2
leadership,ability,2
legs,hurt,2
leisure,time,2
lieut,capt,2
lieutentants,sic,2
life,means,2
life,struggling,2
line,drawn,2
line,duty,2
lip,service,2
live,eat,2
liveing,living,2
living,quarters,2
loeutent,lieutenant,2
logical,mind,2
los,angeles,2
love,america,2
low,due,2
main,idea,2
main,object,2
main,reason,2
major,disappointment,2
man's,army,2
man's,land,2
mans,army,2
mans,vitality,2
married,life,2
master,corp,2
mechanic,school,2
med,soldier,2
medical,aid,2
medical,corps,2
medical,division,2
medical,officer,2
mess,sargant,2
military,school,2
milk,bottle,2
mind,occupied,2
mind,soldiering,2
mine,fight,2
miss,bed,2
mixed,camp,2
mixed,school,2
mixed,unit,2
monday,morning,2
moral,standing,2
mortuary,science,2
mother,dad,2
mother,fucking,2
mutual,understanding,2
national,government,2
nations,creeds,2
navy,pilots,2
negor,soldiers,2
negro,ain,2
negro,army,2
negro,chances,2
negro,citizen,2
negro,civilians,2
negro,commanding,2
negro,divisions,2
negro,fight,2
negro,fighting,2
negro,gits,2
negro,leaders,2
negro,lieutenant,2
negro,lt's,2
negro,m.p,2
negro,major,2
negro,naturally,2
negro,outfits,2
negro,races,2
negro,sailor,2
negro,sholder,2
negro,situation,2
negro,solder,2
negro,wears,2
negro,whites,2
negro,workers,2
negroe,american,2
negroe,negro,2
negroe,soldiers,2
negroe,unit,2
negroes,dont,2
negroes,negroes,2
negros,solders,2
negros,unclear,2
negrow,negro,2
nere,home,2
nergro,tropes,2
nice,cozy,2
nice,officers,2
nice,questions,2
nice,time,2
noncommissioned,officer,2
north,american,2
north,treat,2
north,wake,2
northern,eastern,2
northern,people,2
nother,camp,2
obedient,soldier,2
ocs,officer,2
office,dont,2
officer,break,2
officer,candidate,2
officer,credit,2
officers,candidate,2
officers,clubs,2
officers,overseas,2
officil,official,2
outfit,77,2
overseas,fighting,2
paces,halts,2
page,49,2
paper,basket,2
papers,3,2
patients,eat,2
paying,taxes,2
peace,terms,2
people,call,2
people,fight,2
people,fine,2
people,speak,2
peoples,dont,2
permanent,peace,2
personal,opinions,2
personel,opinion,2
physical,strength,2
physical,unfit,2
planned,training,2
play,ball,2
police,beat,2
poor,bus,2
poor,health,2
poor,idea,2
poor,negroes,2
poorer,class,2
poorly,educated,2
poorly,trained,2
post,exchange,2
post,t.a.f.s,2
posts,camps,2
practical,experience,2
practice,democracy,2
prefer,negro,2
press,forward,2
pretty,hard,2
prevailing,conditions,2
previous,experience,2
primary,factor,2
production,plant,2
proper,clothing,2
proper,rifle,2
properly,articles,2
public,meetings,2
pull,togeather,2
pvt,private,2
px,post,2
question,12,2
question,27,2
question,31,2
question,40,2
question,45,2
question,48,2
question,6,2
question,64,2
question,70,2
questioning,colored,2
questionnaire,isnt,2
questions,answered,2
race,hate,2
race,predjudice,2
race,riot,2
race,seldom,2
races,enjoy,2
racial,questions,2
racial,relations,2
racial,war,2
radio,station,2
ranking,colored,2
read,carefully,2
real,soldier,2
realy,dont,2
reasonable,doubt,2
receiving,training,2
recent,arrivals,2
reception,center,2
recognize,colored,2
recreation,monday,2
recreation,worth,2
recruiting,officers,2
red,blood,2
red,blooded,2
red,cross,2
refused,war,2
relize,realize,2
rember,reading,2
resources,money,2
return,home,2
riding,buses,2
rifle,gun,2
rights,privilege,2
rite,3,2
rock,ark,2
rong,wrong,2
san,antonio,2
school,education,2
school,teachers,2
seattle,washington,2
segrated,segregated,2
segregated,camps,2
seldom,heard,2
send,negro,2
senior,officers,2
separate,outfits,2
separate,service,2
seperate,officers,2
seperate,separate,2
service,jobs,2
set,seat,2
sgt,sergeant,2
shed,tears,2
shoe,repair,2
short,length,2
sick,reliefe,2
signal,company,2
signal,corp,2
sill,okla,2
simple,reason,2
skill,trades,2
skilled,duty,2
skilled,workers,2
slavery,time,2
sleeping,quarters,2
slight,chance,2
social,activities,2
social,affairs,2
soilders,soldiers,2
soldier,5,2
soldier,fair,2
soldier,family,2
soldier,feels,2
soldier,life,2
soldier,serving,2
soldier,set,2
soldier,shot,2
soldier,spend,2
soldiers,ar,2
soldiers,bad,2
soldiers,civilians,2
soldiers,colored,2
soldiers,drink,2
soldiers,fight,2
soldiers,fighting,2
soldiers,furloughs,2
soldiers,life,2
soldiers,morale,2
soldiers,serving,2
soldiers,stationed,2
soldiers,training,2
soldiers,unfair,2
soldiers,uniform,2
soliders,sic,2
south,2,2
south,3,2
south,colored,2
south,negroes,2
south,stays,2
south,visit,2
south,west,2
southern,civilian,2
southern,lt,2
southern,radio,2
southern,railroads,2
southern,town,2
southern,troops,2
spare,time,2
special,training,2
spent,2,2
start,cleaning,2
start,fighting,2
start,training,2
starts,living,2
station,hospital,2
stationed,closer,2
stay,question,2
step,child,2
stop,giving,2
stop,hating,2
street,7,2
street,cars,2
strong,army,2
strong,body,2
super,democracy,2
superior,officers,2
supposed,country,2
supposedly,fighting,2
sweat,die,2
t.a.f.s,tuskegee,2
taught,history,2
tears,sweat,2
ten,10,2
thirty,day,2
thousand,times,2
till,death,2
tom,type,2
total,war,2
town,71,2
train,negro,2
trained,position,2
training,2,2
training,camp,2
training,camps,2
training,program,2
trains,buses,2
traveling,time,2
treat,negros,2
treated,alright,2
treated,equal,2
treated,worth,2
trouble,sooner,2
truck,drivers,2
tuskegee,ala,2
u.s,expect,2
unfair,practices,2
unfair,question,2
uniform,draw,2
uniform,race,2
unit,seeking,2
united,nations,2
units,white,2
uso,club,2
veneral,disease,2
verry,hard,2
visa,versa,2
waite,till,2
waite,wait,2
war,1,2
war,3,2
war,aims,2
war,days,2
war,factories,2
war,fighting,2
war,god,2
war,negroes,2
war,quick,2
war,unclear,2
war,wont,2
ware,wear,2
wear,garrison,2
wear,overcoats,2
wee,fight,2
wee,sat,2
west,east,2
whit,solders,2
white,alike,2
white,americans,2
white,bus,2
white,call,2
white,captain,2
white,classification,2
white,fellows,2
white,folk,2
white,girl,2
white,girls,2
white,hate,2
white,instructors,2
white,lieutenant,2
white,lts,2
white,m.ps,2
white,main,2
white,med,2
white,mps,2
white,negros,2
white,northern,2
white,office,2
white,pearsons,2
white,pecks,2
white,people's,2
white,population,2
white,shoe,2
white,sholders,2
white,soldier's,2
white,soliders,2
white,soulders,2
white,superiority,2
white,trete,2
whites,training,2
whites,white,2
wife,sick,2
wite,main,2
women,enter,2
wonderful,opportunity,2
wont,mind,2
words,crossed,2
world,democracy,2
world,safe,2
world,wide,2
worse,condition,2
worth,dam,2
writes,home,2
NA,NA,2
_equal_,opportunities,1
_the,anti,1
0,months,1
0,p.m,1
23,eng,1
1,0,1
1,30,1
1,5,1
1,6,1
1,bat,1
1,cent,1
1,furlough,1
1,god,1
1,heaven,1
1,hell,1
1,hour,1
1,instability,1
1,life,1
1,lynchings,1
1,o'clock,1
1,sick,1
1,sool,1
1,war,1
1,week,1
1,white,1
