source,target,weight
seper,separ,0.000273303
separ,stai,0.000273303
separ,seper,0.000273303
soldier,black,-0.000180501
black,soldier,-0.000180501
seper,soldier,-0.000180501
soldier,seper,-0.000180501
differ,fight,-0.000291451
lot,fight,-0.000291451
fight,differ,-0.000291451
fight,lot,-0.000291451
seper,white,-0.000330678
white,seper,-0.000330678
southern,troubl,-0.000456378
troubl,southern,-0.000456378
moral,separ,-0.000844814
separ,moral,-0.000844814
south,white,-0.000985973
white,south,-0.000985973
offic,mix,-0.001447736
war,race,-0.001447736
mix,offic,-0.001447736
race,war,-0.001447736
question,live,-0.001543716
live,question,-0.001543716
color,fight,-0.001690313
fight,color,-0.001690313
peopl,separ,-0.001716843
separ,peopl,-0.001716843
do,race,-0.002467739
race,do,-0.002467739
south,peopl,-0.002603025
peopl,south,-0.002603025
southern,white,-0.003084099
white,southern,-0.003084099
chanc,fight,-0.003688088
fight,chanc,-0.003688088
friction,negro,-0.003900666
negro,friction,-0.003900666
sleep,peopl,-0.004243129
peopl,sleep,-0.004243129
differ,mix,-0.004386236
mix,differ,-0.004386236
friction,fight,-0.004467162
fight,friction,-0.004467162
differ,separ,-0.004854316
separ,differ,-0.004854316
peopl,fight,-0.005065451
fight,peopl,-0.005065451
feel,troubl,-0.005162186
troubl,feel,-0.005162186
troubl,fight,-0.005814177
fight,troubl,-0.005814177
south,separ,-0.006637022
separ,south,-0.006637022
outfit,black,-0.007716396
black,outfit,-0.007716396
chanc,mix,-0.007827835
mix,chanc,-0.007827835
color,separ,-0.008201529
separ,color,-0.008201529
sleep,separ,-0.008302925
separ,sleep,-0.008302925
chanc,soldier,-0.008770001
sleep,soldier,-0.008770001
soldier,chanc,-0.008770001
soldier,sleep,-0.008770001
boi,outfit,-0.008866552
outfit,boi,-0.008866552
stai,black,-0.00998004
seper,black,-0.00998004
idea,black,-0.00998004
black,stai,-0.00998004
seper,stai,-0.00998004
idea,stai,-0.00998004
black,seper,-0.00998004
stai,seper,-0.00998004
idea,seper,-0.00998004
black,idea,-0.00998004
stai,idea,-0.00998004
seper,idea,-0.00998004
boi,black,-0.01022905
moral,black,-0.01022905
boi,stai,-0.01022905
moral,stai,-0.01022905
black,boi,-0.01022905
stai,boi,-0.01022905
seper,boi,-0.01022905
boi,seper,-0.01022905
moral,seper,-0.01022905
black,moral,-0.01022905
stai,moral,-0.01022905
seper,moral,-0.01022905
idea,moral,-0.01022905
moral,idea,-0.01022905
war,black,-0.010472381
offic,seper,-0.010472381
seper,offic,-0.010472381
black,war,-0.010472381
moral,boi,-0.010484274
boi,moral,-0.010484274
do,seper,-0.01071042
seper,do,-0.01071042
offic,boi,-0.010733676
offic,moral,-0.010733676
boi,offic,-0.010733676
moral,offic,-0.010733676
62,black,-0.010943513
black,62,-0.010943513
stai,62,-0.010943513
seper,62,-0.010943513
idea,62,-0.010943513
62,stai,-0.010943513
62,seper,-0.010943513
62,idea,-0.010943513
do,moral,-0.010977654
moral,do,-0.010977654
war,offic,-0.010989011
offic,war,-0.010989011
differ,black,-0.01117197
lot,black,-0.01117197
differ,stai,-0.01117197
black,differ,-0.01117197
stai,differ,-0.01117197
idea,differ,-0.01117197
lot,seper,-0.01117197
differ,idea,-0.01117197
lot,idea,-0.01117197
black,lot,-0.01117197
seper,lot,-0.01117197
idea,lot,-0.01117197
boi,62,-0.011216563
moral,62,-0.011216563
62,boi,-0.011216563
62,moral,-0.011216563
war,do,-0.011238793
do,war,-0.011238793
boi,differ,-0.01145072
moral,differ,-0.01145072
differ,boi,-0.01145072
differ,moral,-0.01145072
offic,62,-0.011483385
war,62,-0.011483385
62,offic,-0.011483385
62,war,-0.011483385
south,black,-0.011616064
south,stai,-0.011616064
black,south,-0.011616064
stai,south,-0.011616064
seper,south,-0.011616064
idea,south,-0.011616064
south,seper,-0.011616064
south,idea,-0.011616064
offic,differ,-0.011723112
differ,offic,-0.011723112
