UnitID,Institution Name,SECTOR (HD2019)
155283,Concorde Career College-Kansas City,3
219903,Concorde Career College-Memphis,6
124937,Concorde Career College-North Hollywood,6
208479,Concorde Career College-Portland,6
460206,Concorde Career College-San Antonio,6
124706,Concorde Career College-San Bernardino,6
120661,Concorde Career College-San Diego,6
487588,Concorde Career College-Southaven,6
133845,Concorde Career Institute-Jacksonville,6
133854,Concorde Career Institute-Miramar,6
460190,Concorde Career Institute-Orlando,6
133863,Concorde Career Institute-Tampa,6
262341,Conservatory of Recording Arts and Sciences,9
488040,Construction Training Center,9
182652,Continental Academie of Hair Design-Hudson,9
467094,Continental School of Beauty Culture-Mattydale,9
374990,Continental School of Beauty Culture-Olean,9
190318,Continental School of Beauty Culture-Rochester,9
194435,Continental School of Beauty Culture-West Seneca,9
491950,Contra Costa Medical Career College,6
451343,Corinth Academy of Cosmetology,9
486770,Cortiva Institute-Arlington,9
469160,Cortiva Institute-Aurora,9
434308,Cortiva Institute-Baltimore,9
244561,Cortiva Institute-Chicago,9
128896,Cortiva Institute-Cromwell,9
476346,Cortiva Institute-Dallas,9
134574,Cortiva Institute-Florida,9
443483,Cortiva Institute-Groton,9
481942,Cortiva Institute-Houston,9
215044,Cortiva Institute-King of Prussia,9
469124,Cortiva Institute-Las Vegas,9
438285,Cortiva Institute-Maitland,9
420103,Cortiva Institute-Miami,6
460640,Cortiva Institute-New Jersey,9
436270,Cortiva Institute-Orem,9
469142,Cortiva Institute-Phoenix,9
387925,Cortiva Institute-Pompano,9
380474,Cortiva Institute-Salt Lake,9
105482,Cortiva Institute-Scottsdale,9
479053,Cortiva Institute-Seattle,9
419411,Cortiva Institute-Seattle,9
469133,Cortiva Institute-Tempe,9
104504,Cortiva Institute-Tucson,9
469151,Cortiva Institute-Westminster,9
407054,Cortiva Institute-Westport,9
469586,Cortiva Institute-York,9
144795,Cosmetology & Spa Academy,9
482200,Cosmetology Academy of Texarkana,9
224156,Cosmetology Career Center LLC,9
173470,Cosmetology Careers Unlimited College of Hair Skin and Nails,9
445780,Cosmetology School of Arts and Science LLC,6
407142,Cosmetology Training Center,9
459189,Cosmo Beauty Academy,9
481395,Cosmo Factory Cosmetology Academy,9
144485,Coyne College,6
454874,Cozmo Beauty School,9
417503,Crave Beauty Academy,9
169813,Creative Hair School of Cosmetology,9
434830,Creative Images Institute of Cosmetology-North Dayton,6
444051,Creative Images Institute of Cosmetology-South Dayton,6
483911,Creative Touch Cosmetology School,9
158617,Crescent City Bartending School,9
180090,Crevier's Academy of Cosmetology Arts,9
371830,CRU Institute of Cosmetology and Barbering,9
444565,Culinary Institute Inc,6
486390,Culinary Tech Center,9
476674,Curve Metric School of Hair Design,9
490300,Cutting Edge Academy,9
480888,CyberTex Institute of Technology,9
492096,D&S School of Cosmetology,9
158644,D'Jay's Institute of Cosmetology and Esthiology,9
418773,D'Mart Institute,9
443021,Dallas Barber & Stylist College,9
487959,Dalton Institute of Esthetics and Cosmetology,9
455178,Daoist Traditions College of Chinese Medical Arts,3
169503,David Pressley School of Cosmetology,9
202435,Davis College,6
130873,Dawn Career Institute LLC,9
202453,Dayton Barber College,6
449700,Dayton School of Medical Massage,9
447014,Daytona College,3
406413,DCI Career Institute,9
211909,Dean Institute of Technology,6
484084,Debutantes School of Cosmetology and Nail Technology,9
488192,DeHart Technical School,9
449472,Delaware Learning Institute of Cosmetology,9
162335,Delmarva Beauty Academy,9
175607,Delta Beauty College,6
402563,Delta College Inc,9
366270,Delta College of Arts & Technology,6
483355,Delta College of Arts & Technology-Lafayette Campus,9
483364,Delta College-Slidell Campus,9
490540,Delta Designs Cosmetology School,9
447023,Delta Technical College,9
493804,Deluxe Barber College,9
158787,Denham Springs Beauty School,9
449603,Denmark College,9
452771,Dental Assistant Pro LLC-Columbus,9
452780,Dental Assistant Pro-Lebanon,9
454856,Denver College of Nursing,3
484923,Dermal Science International Aesthetics and Nail Academy,9
113582,Design Institute of San Diego,3
441256,Design's School of Cosmetology,9
480921,Designer Barber & Stylist School,9
169576,Detroit Business Institute-Downriver,9
482413,DeVry College of New York,3
482422,DeVry University-Arizona,3
482431,DeVry University-California,3
482440,DeVry University-Colorado,3
482459,DeVry University-Florida,3
482468,DeVry University-Georgia,3
482477,DeVry University-Illinois,3
482486,DeVry University-Indiana,3
482538,DeVry University-Missouri,3
482547,DeVry University-Nevada,3
482556,DeVry University-New Jersey,3
482565,DeVry University-North Carolina,3
482574,DeVry University-Ohio,3
482608,DeVry University-Pennsylvania,3
482617,DeVry University-Tennessee,3
482635,DeVry University-Texas,3
482653,DeVry University-Virginia,3
476780,Diamond Beauty College,9
461388,Diamonds Cosmetology College,9
373526,Diesel Driving Academy-Baton Rouge,9
260664,Diesel Driving Academy-Shreveport,9
443410,DigiPen Institute of Technology,3
480028,Digital Film Academy,9
451255,DiGrigoli School of Cosmetology,9
184278,Divers Academy International,9
235088,Divers Institute of Technology,9
395690,Diversified Vocational College,9
483346,Divine Crown Barber & Beauty Academy,9
211802,DLP Conemaugh Memorial Medical Center,6
485607,Dolce LLC The Academy,9
150437,Don Roberts Beauty School,9
150428,Don Roberts School of Hair Design,9
483504,Dorsey School of Business-Dearborn,9
169734,Dorsey School of Business-Madison Heights,9
250744,Dorsey School of Business-Roseville,9
455558,Dorsey School of Business-Roseville Culinary Academy,9
460482,Dorsey School of Business-Saginaw,9
458380,Dorsey School of Business-Waterford Pontiac,9
247153,Dorsey School of Business-Wayne,9
169761,Dorsey School of Business-Woodhaven,9
212045,Douglas Education Center,6
261436,Douglas J Aveda Institute,9
492139,DSDT,9
417804,Durham Beauty Academy,9
458043,DuVall's School of Cosmetology,9
154466,E Q School of Hair Design,6
