"","x"
"1007",44834818
"1008",7681493
"1009",17405750
"1010",8814314
"1011",7489446
"1012",35750952
"1013",24334815
"1014",36796444
"1015",8499835
"1016",216088246
"1017",8730618
"1018",108548483
"1019",6864549
"1020",65245767
"1021",11214152
"1022",8773722
"1023",9689333
"1024",6780821
"1025",13689772
"1026",3900842
"1027",31127335
"1028",19829387
"1029",213672199
"1030",3283571
"1031",97555574
"1032",13879471
"1033",3808072
"1034",7478559
"1035",108550602
"1036",21747151
"1037",21190101
"1038",11125686
"1039",5110576
"1040",699561
"1041",88844874
"1042",1673433
"1043",13842581
"1044",16485630
"1045",83008592
"1046",219763261
"1047",6649989
"1048",17322900
"1049",1863103
"1050",81994889
"1051",9501663
"1052",13987352
"1053",9903926
"1054",9726408
"1055",67324572
"1056",2106215
"1057",5487640
"1058",21012072
"1059",193620604
"1060",108399902
"1061",22657382
"1062",148387
"1063",90443938
"1064",13440121
"1065",193138584
"1066",14102105
"1067",25153117
"1068",30089746
"1069",1816399
"1070",8646449
"1071",12150932
"1072",5354017
"1073",50363220
"1074",8220722
"1075",13558465
"1076",9416422
"1077",212659943
"1078",7973420
"1079",19612058
"1080",20598299
"1081",53849136
"1082",209192269
"1083",207373391
"1084",219448795
"1085",13549591
"1086",37594477
"1087",13689566
"1088",194176706
"1089",67832833
"1090",33571532
"1091",1674484
"1092",15885373
"1093",9880709
"1094",9109877
"1095",7403899
"1096",209689742
"1097",7475713
"1098",52991234
"1099",13532618
"1100",7673318
"1101",5303536
"1102",10795418
"1103",220570662
"1104",211247843
"1105",64808567
"1106",36520049
"1107",57588518
"1108",13439731
"1109",89002578
"1110",6785409
"1111",88871061
"1112",5922712
"1113",13492958
"1114",9971587
"1115",32009466
"1116",108546419
"1117",11174030
"1118",13511932
"1119",5605418
"1120",9772626
"1121",34072680
"1122",22423762
"1123",194273483
"1124",8044083
"1125",8084046
"1126",208258504
"1127",108512978
"1128",12583507
"1129",1721963
"1130",9647122
"1131",670961
"1132",213381342
"1133",37247139
"1134",32672222
"1135",13509241
"1136",11094289
