"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"Delaware",2013,-58.87,"11.57","7.67","13.89","2.80","1.17","1.03","1.36","1.92","2.05","10.18","1.78","1.23","4.32","1.03","2.26","13.41","9.19","0.04","0.59","3.04","2.25","3.68","0.07","3.46"
"Delaware",2014,-59.08,"12.53","8.77","14.23","2.88","1.60","0.74","0.85","1.61","2.14","9.03","1.70","0.91","4.15","0.96","2.55","12.61","9.44","0.07","0.58","2.69","3.05","3.36","0.05","3.50"
"Delaware",2015,-66.04,"11.41","8.46","14.14","2.38","1.43","1.00","0.63","2.26","1.84","10.53","2.08","1.25","3.18","0.79","1.10","11.74","9.95","0.10","0.81","2.81","1.63","7.00","0.05","3.45"
"Delaware",2016,-58.19,"11.65","8.32","11.93","2.29","1.12","1.18","0.49","2.34","1.71","13.38","2.32","1.12","3.46","0.82","1.12","11.24","9.34","0.07","1.02","2.80","1.58","7.08","0.06","3.54"
"Delaware",2017,-54.89,"12.46","8.85","12.49","2.35","1.33","0.88","0.52","1.29","1.60","14.01","1.79","1.18","3.42","0.85","1.14","11.96","9.02","0.05","0.91","2.81","1.87","5.84","0.07","3.31"
"Delaware",2018,-67.8,"11.80","7.96","14.60","2.76","1.17","0.89","0.57","2.33","1.75","13.23","1.64","1.18","3.48","1.20","2.64","10.68","8.31","0.09","1.04","2.80","1.75","5.11","0.06","2.96"
"Delaware",2019,-72.26,"11.36","8.09","13.44","2.47","1.16","1.27","0.84","2.07","1.64","14.59","2.09","1.26","3.69","1.15","1.27","9.37","8.77","0.11","0.88","2.79","1.80","6.30","0.17","3.44"
"District of Columbia",2010,-37.7,"17.16","11.61","26.25","2.05","2.23","0.91","3.32","1.49","4.19","5.54","0.71","1.16","1.58","0.41","0.83","6.25","7.70","0.02","0.37","1.23","0.47","0.69","0.06","3.77"
"District of Columbia",2011,-36.63,"17.68","11.37","23.63","2.16","2.17","0.89","4.26","1.74","3.62","5.37","0.69","1.19","1.67","0.56","1.04","6.41","8.13","0.01","0.48","1.45","0.64","0.97","0.11","3.77"
"District of Columbia",2012,-44.26,"16.90","12.15","22.13","2.29","2.07","0.98","5.33","1.89","3.88","5.20","0.66","1.37","1.49","0.53","1.55","5.75","8.37","0.03","0.47","1.39","0.56","0.90","0.12","4.00"
