"maj_occ_code","year","state","bgt","per_bgt","tot_emp","per_oes","abb","region"
11,2013,"North Carolina",60190,11.8447645117552,170990,4.33211807358951,"NC","South"
11,2013,"North Dakota",6654,9.20459261308618,18640,4.40734873383302,"ND","Midwest"
11,2013,"Ohio",64359,11.6843647481087,241000,4.70165923700459,"OH","Midwest"
11,2013,"Oklahoma",20887,10.3553757523475,82660,5.30259292046752,"OK","South"
11,2013,"Oregon",27784,10.6829489614654,89620,5.46363470096933,"OR","West"
11,2013,"Pennsylvania",77945,12.396365620025,213870,3.8076705324365,"PA","Northeast"
11,2013,"Rhode Island",6674,12.7802991133835,21110,4.62837097127823,"RI","Northeast"
11,2013,"South Carolina",21869,10.2278573366134,75740,4.14759161500887,"SC","South"
11,2013,"South Dakota",5381,8.24788093376864,11950,2.9653341273977,"SD","Midwest"
11,2013,"Tennessee",35826,11.5801212121212,148740,5.50878687431714,"TN","South"
11,2013,"Texas",163508,12.4483343268674,484680,4.44092193935285,"TX","South"
11,2013,"Utah",15363,9.67674884418186,59800,4.8121414029243,"UT","West"
11,2013,"Vermont",3442,10.255646266611,12580,4.21737235576117,"VT","Northeast"
11,2013,"Virginia",66454,12.7436391111247,169480,4.66701914392087,"VA","South"
11,2013,"Washington",58833,12.903247030957,131710,4.65867289190719,"WA","West"
11,2013,"West Virginia",10490,9.53177105576404,32880,4.63470673639401,"WV","South"
11,2013,"Wisconsin",33271,10.747071858183,119510,4.41837594830008,"WI","Midwest"
11,2013,"Wyoming",3252,10.8890005022602,12060,4.32397547595999,"WY","West"
11,2014,"Alabama",22506,9.76577076951115,67500,3.63385786501429,"AL","South"
11,2014,"Alaska",7370,8.79065828552344,18030,5.54820444964151,"AK","West"
11,2014,"Arizona",45589,9.85454553314931,126700,5.01387025670857,"AZ","West"
11,2014,"Arkansas",16816,10.7371579989145,56070,4.83866792084847,"AR","South"
11,2014,"California",286075,13.2213815956704,887420,5.8692847028353,"CA","West"
11,2014,"Colorado",54747,11.0081837009631,103470,4.36991612396422,"CO","West"
11,2014,"Connecticut",33138,12.2799281095403,112240,6.81684289800852,"CT","Northeast"
11,2014,"Delaware",9945,12.528029024212,17900,4.21841491292155,"DE","South"
11,2014,"District of Columbia",25959,18.0617015947232,78640,11.6564144371155,"DC","South"
11,2014,"Florida",101069,10.6489081257863,252680,3.2964223094264,"FL","South"
11,2014,"Georgia",71565,12.0318158433619,219430,5.50881817611247,"GA","South"
11,2014,"Hawaii",7065,9.58277948078019,36260,5.9192268764896,"HI","West"
11,2014,"Idaho",9897,8.35366110993881,33180,5.28226191613335,"ID","West"
11,2014,"Illinois",119499,11.7599069434221,368230,6.38636253269232,"IL","Midwest"
11,2014,"Indiana",37445,9.92617334022559,130460,4.49061500703917,"IN","Midwest"
11,2014,"Iowa",25184,8.8130824441746,80530,5.3234528074884,"IA","Midwest"
11,2014,"Kansas",21453,10.2089083468164,61180,4.50018389113645,"KS","Midwest"
11,2014,"Kentucky",23721,9.4874892010367,82000,4.53537314506004,"KY","South"
11,2014,"Louisiana",25134,9.92269974496443,81890,4.27445453596409,"LA","South"
11,2014,"Maine",10122,9.83596999261476,32090,5.47246712938488,"ME","Northeast"
11,2014,"Maryland",45369,11.776264217745,144330,5.64337969353004,"MD","South"
11,2014,"Massachusetts",76238,13.2258674498769,235850,7.09857035364936,"MA","Northeast"
11,2014,"Michigan",64457,10.1216189691045,200090,4.91171481664224,"MI","Midwest"
11,2014,"Minnesota",45353,11.2356683479829,165730,6.07065149705863,"MN","Midwest"
11,2014,"Mississippi",11996,10.037653752824,50210,4.58928587750327,"MS","South"
11,2014,"Missouri",35279,10.3464153112518,131660,4.92437276521895,"MO","Midwest"
11,2014,"Montana",5954,8.92533241391716,15110,3.40829630297972,"MT","West"
11,2014,"Nebraska",14475,9.52390351742924,38190,4.05005567633491,"NE","Midwest"
11,2014,"Nevada",18428,11.0019224110139,57090,4.79905179008246,"NV","West"
11,2014,"New Hampshire",9225,9.56642573446298,34880,5.56299840510367,"NH","Northeast"
11,2014,"New Jersey",73074,13.5026414355218,205530,5.31186841928431,"NJ","Northeast"
11,2014,"New Mexico",12968,10.3624624432654,38800,4.9238578680203,"NM","West"
11,2014,"New York",157734,15.6358824141674,445250,5.0533710893831,"NY","Northeast"
11,2014,"North Carolina",57259,11.2049109912195,175970,4.36554796967412,"NC","South"
11,2014,"North Dakota",6224,8.72185087092389,19250,4.37082784614686,"ND","Midwest"
11,2014,"Ohio",71328,10.561838015687,247150,4.75208041716017,"OH","Midwest"
11,2014,"Oklahoma",18298,9.60257776051807,86200,5.46493124457152,"OK","South"
11,2014,"Oregon",24850,10.7267884815443,98370,5.84328797067961,"OR","West"
11,2014,"Pennsylvania",72864,11.8512735434761,216750,3.83367764209811,"PA","Northeast"
11,2014,"Rhode Island",9232,11.3862851504687,21430,4.61923134955704,"RI","Northeast"
11,2014,"South Carolina",28107,9.93868544999363,80380,4.28355218281037,"SC","South"
11,2014,"South Dakota",6458,8.40502375219627,11500,2.81001832620648,"SD","Midwest"
11,2014,"Tennessee",32810,10.6649937264743,151850,5.52286250491002,"TN","South"
11,2014,"Texas",171318,12.0716188221367,475640,4.23584060472315,"TX","South"
11,2014,"Utah",14315,9.70396632252554,66860,5.2207455530742,"UT","West"
11,2014,"Vermont",4759,10.4547451669596,12110,4.02258761003156,"VT","Northeast"
11,2014,"Virginia",58614,11.6965295945307,168100,4.6073855211334,"VA","South"
11,2014,"Washington",59481,12.2673106827753,135320,4.66886331878483,"WA","West"
11,2014,"West Virginia",6582,8.90157150198804,30460,4.30396201887752,"WV","South"
11,2014,"Wisconsin",32745,9.98670269544903,123500,4.52735844214879,"WI","Midwest"
11,2014,"Wyoming",3091,8.70508054522924,12200,4.31568148855637,"WY","West"
11,2015,"Alabama",23519,9.54748982085517,69100,3.66907200620185,"AL","South"
11,2015,"Alaska",6280,8.57513483989896,18300,5.59205500381971,"AK","West"
11,2015,"Arizona",54484,9.81189839451813,133020,5.14172403529862,"AZ","West"
11,2015,"Arkansas",15562,9.60534274815757,59160,5.03005620127027,"AR","South"
11,2015,"California",338529,12.9954299161032,907690,5.85734935405186,"CA","West"
11,2015,"Colorado",57191,11.0622173564877,108200,4.41364231548976,"CO","West"
11,2015,"Connecticut",32981,12.9644843648657,114720,6.91321718903479,"CT","Northeast"
11,2015,"Delaware",9259,11.4073453497111,18120,4.17665498801401,"DE","South"
11,2015,"District of Columbia",30961,17.1914822732447,80410,11.8939147412952,"DC","South"
11,2015,"Florida",116852,10.8834895120722,264540,3.33791780752779,"FL","South"
11,2015,"Georgia",69568,11.8966024365052,231890,5.64489430276828,"GA","South"
11,2015,"Hawaii",6501,10.8723283272569,36620,5.9068326988838,"HI","West"
11,2015,"Idaho",8459,8.95208059941582,35500,5.52357242881593,"ID","West"
11,2015,"Illinois",120805,12.9808797835463,388500,6.63795062458246,"IL","Midwest"
11,2015,"Indiana",36435,10.2112883291154,138720,4.70655293854203,"IN","Midwest"
11,2015,"Iowa",22775,8.79656094056576,85790,5.61838960018337,"IA","Midwest"
11,2015,"Kansas",17620,9.93924761813433,64580,4.70826680664611,"KS","Midwest"
11,2015,"Kentucky",21028,9.50654399963833,83510,4.54298179760856,"KY","South"
11,2015,"Louisiana",22862,10.3360504912133,83250,4.29278605682463,"LA","South"
11,2015,"Maine",8694,9.54252096413048,34110,5.76649986475521,"ME","Northeast"
11,2015,"Maryland",49376,11.7764066409241,146970,5.66002857549978,"MD","South"
11,2015,"Massachusetts",80224,14.2908548077368,255000,7.50697707280885,"MA","Northeast"
11,2015,"Michigan",67742,10.2662104041197,203450,4.90642936381614,"MI","Midwest"
11,2015,"Minnesota",48611,11.7010880030811,167820,6.05358843390183,"MN","Midwest"
11,2015,"Mississippi",11570,9.25651836502844,53500,4.83484704712846,"MS","South"
11,2015,"Missouri",31988,10.4412086315906,128350,4.73225083325959,"MO","Midwest"
11,2015,"Montana",5710,7.71559062778694,15200,3.39907867078134,"MT","West"
11,2015,"Nebraska",12509,9.29008013427504,40290,4.22455463400824,"NE","Midwest"
11,2015,"Nevada",18748,11.2900311939202,59740,4.84587929915639,"NV","West"
11,2015,"New Hampshire",7179,8.69812806688072,35650,5.61099219340217,"NH","Northeast"
11,2015,"New Jersey",77249,13.5264237073562,207160,5.30254940104433,"NJ","Northeast"
11,2015,"New Mexico",11638,10.4842124228638,39810,4.98778425108062,"NM","West"
11,2015,"New York",189847,15.4542279805315,462840,5.15131515243926,"NY","Northeast"
11,2015,"North Carolina",63972,11.626664340316,180100,4.36598651659245,"NC","South"
11,2015,"North Dakota",4892,8.71781163681725,19400,4.33209771783306,"ND","Midwest"
11,2015,"Ohio",88535,10.7132960553144,243270,4.60664476362707,"OH","Midwest"
11,2015,"Oklahoma",17040,9.79439811009501,89950,5.6319773593884,"OK","South"
11,2015,"Oregon",49266,11.0744455583979,105200,6.0626318276645,"OR","West"
11,2015,"Pennsylvania",82262,11.6973716391848,221280,3.87565942958028,"PA","Northeast"
11,2015,"Rhode Island",10131,10.6657823258164,21890,4.64469859322286,"RI","Northeast"
11,2015,"South Carolina",23699,9.93468819692473,83220,4.31607663343948,"SC","South"
11,2015,"South Dakota",9675,7.93553149606299,11440,2.76823307360983,"SD","Midwest"
11,2015,"Tennessee",39720,10.7531539336185,164910,5.85986220031767,"TN","South"
11,2015,"Texas",201556,11.8717803429667,458860,3.96507594702632,"TX","South"
11,2015,"Utah",19453,9.09847758471504,73680,5.56302191081648,"UT","West"
11,2015,"Vermont",3860,9.86480615400342,12040,3.96639762806786,"VT","Northeast"
11,2015,"Virginia",72279,11.4992872506968,166610,4.52443346141835,"VA","South"
11,2015,"Washington",75707,12.1108528483468,145240,4.86740640698676,"WA","West"
11,2015,"West Virginia",5859,8.32942380688361,28990,4.1004243281471,"WV","South"
11,2015,"Wisconsin",33616,10.3420162870759,127880,4.61394140568625,"WI","Midwest"
11,2015,"Wyoming",3370,8.5943078649393,11520,4.05876757213825,"WY","West"
11,2016,"Alabama",28852,8.80877580242843,70090,3.6638978771452,"AL","South"
11,2016,"Alaska",6197,8.37613538062284,17490,5.4064914992272,"AK","West"
11,2016,"Arizona",51615,9.35533978470846,148850,5.61065062438984,"AZ","West"
11,2016,"Arkansas",18224,7.9627032293865,59650,5.00705100224961,"AR","South"
11,2016,"California",358061,12.4666191762431,919820,5.76090809678716,"CA","West"
11,2016,"Colorado",58047,10.513056423891,109620,4.37137114783385,"CO","West"
11,2016,"Connecticut",40620,11.1370359911057,116730,7.00542525866001,"CT","Northeast"
11,2016,"Delaware",11547,11.6526898973691,17850,4.0498230329431,"DE","South"
11,2016,"District of Columbia",28716,16.9714305977471,85800,12.2156097838777,"DC","South"
11,2016,"Florida",119838,10.679349496991,276220,3.35951097235111,"FL","South"
11,2016,"Georgia",84269,11.5722329030486,240090,5.69688283769258,"GA","South"
11,2016,"Hawaii",7389,10.0596307792844,36410,5.75998228184522,"HI","West"
11,2016,"Idaho",9003,8.54993874585704,37210,5.60822318346923,"ID","West"
11,2016,"Illinois",120607,11.7108841786981,425610,7.20906125186744,"IL","Midwest"
11,2016,"Indiana",41707,9.5245816281789,142820,4.7745765998275,"IN","Midwest"
11,2016,"Iowa",26930,8.06942159656488,86320,5.62378250190565,"IA","Midwest"
11,2016,"Kansas",20189,8.14377972384806,65630,4.77593910550292,"KS","Midwest"
11,2016,"Kentucky",29769,8.63335015399607,84230,4.50512127938384,"KY","South"
11,2016,"Louisiana",23261,9.90474649452622,81710,4.25092473610555,"LA","South"
11,2016,"Maine",8123,8.49020120198589,34140,5.72444205972602,"ME","Northeast"
11,2016,"Maryland",52356,11.048972890384,151790,5.74766178196827,"MD","South"
11,2016,"Massachusetts",84625,12.924740970627,268850,7.77043333497114,"MA","Northeast"
11,2016,"Michigan",79778,10.0977268786255,195980,4.65279706748906,"MI","Midwest"
11,2016,"Minnesota",55899,10.0982565292087,168370,5.99096214062055,"MN","Midwest"
11,2016,"Mississippi",13011,8.81719118484183,54940,4.91729915509094,"MS","South"
