fleming_primary,fleming_secondary,summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Applications,General Business and Home,Applications,Multimedia,Graphics,10513,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Multimedia,Sound/Audio,8241,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Multimedia,Video,3949,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Multimedia,Home Theater PC,430,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Multimedia,Cataloguing,418,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Multimedia,DVD,167,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Text Editors,,5160,6/17/21 12:20,atom|brackets|bluefish|visual studio code|notepad++|cuda text|emacs|editpadlite|komodo ide|latex|biblatex|latex-template|xelatex|latex-editor|template-latex,7/16/21,
Applications,General Business and Home,Applications,Text Editors,Text Processing,1725,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Text Editors,Integrated Development Environments,1249,6/17/21 12:20,visual studio code|atom|sublime text 3|pycharm|intellj idea|phpstorm|webstorm|netbeans|komodo edit|rj texted|brackets|aws cloud 9|bluefish|code::blocks|light table|visual-studio|vscode|vscode-extension|visual-studio-code|visualstudio|visual-studio-extension|visual-studio-code-extension,7/16/21,
Applications,General Business and Home,Applications,Text Editors,Word Processors,562,6/17/21 12:20,libreoffice,,
Applications,General Business and Home,Applications,Text Editors,Documentation,371,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Text Editors,Emacs,197,6/17/21 12:20,emacs|emacs-lisp|emacs-configuration|doom-emacs|gnu-emacs|emacs-customizations|emacs-packages|centaur-emacs,7/16/21,
Applications,General Business and Home,Applications,Text Editors,Computer-Aided Translation,62,6/17/21 12:20,,,
Applications,General Business and Home,Applications,Text Editors,Vi/Vim,40,6/17/21 12:20,vim|neovim|vim-configuration|vim-plugin|nvim|vim-configs|neovim-plugin|vim-plugins|vimperator|neovim-dotfiles|vim-like|vim-mode|vimfiles|gvim,7/16/21,
Applications,Network,Applications,Internet,,36604,6/17/21 12:20,,,
Applications,Network,Applications,Internet,WWW/HTTP,28646,6/17/21 12:20,,,
