Maintainer.email.domain,email.domain_count,email.domain_unique_name
cs.washington.edu,2,1
iris.washington.edu,3,1
ensae.fr,1,1
cbs.dk,2,2
econ.units.it,1,1
ifremer.fr,2,2
imim.es,2,1
cruk.manchester.ac.uk,1,1
dms.umontreal.ca,1,1
unswalumni.com,1,1
iamsulthan.in,1,1
mat.ulaval.ca,6,4
shou.edu.cn,1,1
sachaepskamp.com,10,1
binf.ku.dk,2,1
bgc-jena.mpg.de,11,5
markushelbig.de,1,1
csu.edu.cn,1,1
msu.edu,13,5
nibio.no,4,2
ligue-cancer.net,3,2
yahoo.es,10,4
cass.city.ac.uk,1,1
usal.es,7,4
inwt-statistics.de,1,1
usm.cl,3,1
msp.ulaval.ca,3,2
indiana.edu,6,4
oncology.ox.ac.uk,2,2
ime.unicamp.br,3,3
stat.unipg.it,4,2
qq.com,14,12
durham.ac.uk,3,2
vodafone.it,1,1
uc.cl,1,1
tulipany.cz,1,1
psychoanalytix.com,1,1
ucar.edu,9,3
mathos.hr,1,1
bgsu.edu,3,2
ottolinger.de,2,1
dnalytics.com,1,1
ini.rub.de,2,1
pku.edu.cn,2,2
vcu.edu,6,6
stlawu.edu,2,1
calvin.edu,9,1
lse.ac.uk,13,7
pdx.edu,6,4
uts.edu.au,5,3
bioss.ac.uk,6,5
hec.ca,6,3
kourentzes.com,2,1
geo.uu.se,1,1
maths.otago.ac.nz,2,2
nccu.edu.tw,1,1
ibe.med.uni-muenchen.de,8,3
csiro.au,18,14
mac.com,7,6
bips.uni-bremen.de,1,1
ufpi.edu.br,1,1
uni-mannheim.de,5,2
iusspavia.it,3,1
aims.gov.au,1,1
rprimer.dk,1,1
wis.kuleuven.be,1,1
brown.edu,2,2
math.mcgill.ca,1,1
g.harvard.edu,5,5
oceans.ubc.ca,1,1
colorado.edu,5,5
yihui.name,21,1
unine.ch,4,3
uco.es,3,2
proempers.net,1,1
ucv.cl,1,1
csd.uoc.gr,1,1
kennedy.ox.ac.uk,1,1
louisville.edu,7,5
ndsu.edu,2,2
aggiemail.usu.edu,2,2
uowmail.edu.au,1,1
thorsten-henke.de,1,1
paux.fr,1,1
medschl.cam.ac.uk,4,3
karssen.org,1,1
mail.harvard.edu,4,4
mrc-bsu.cam.ac.uk,9,5
hawaii.edu,2,2
alumni.pitt.edu,1,1
alumni.uv.es,2,1
stis.ac.id,1,1
steno.dk,1,1
cimr.cam.ac.uk,3,2
lifbi.de,1,1
fullerton.edu,1,1
macewan.ca,2,2
ue.katowice.pl,4,2
protonmail.com,9,7
biostat.ku.dk,8,4
snapfinance.com,1,1
statistik.uni-hannover.de,1,1
bridgew.edu,1,1
ined.fr,1,1
kainhofer.com,1,1
go2.pl,1,1
stat.rutgers.edu,5,4
burlo.trieste.it,1,1
ed.gov,1,1
stat.oregonstate.edu,2,1
dpi.nsw.gov.au,1,1
gmx.co.uk,2,1
fudan.edu.cn,2,2
turing.ac.uk,1,1
openanalytics.eu,14,7
alumni.duke.edu,1,1
estudiante.uam.es,2,1
mtb.biglobe.ne.jp,4,1
ulaval.ca,4,4
mail.nih.gov,6,5
di.unimi.it,5,2
u-pec.fr,1,1
liuc.it,1,1
bpm-conseil.com,1,1
openintro.org,2,2
aau.at,4,1
nimbios.org,3,1
irstea.fr,4,3
tesujimath.org,1,1
pfizer.com,1,1
goumh.umh.es,2,2
boun.edu.tr,2,1
graduates.centraliens.net,1,1
iadvize.com,1,1
ic.ac.uk,1,1
smu.edu,10,5
dfo-mpo.gc.ca,4,1
sund.ku.dk,8,4
dartmouth.edu,1,1
uvic.ca,8,4
ppw.kuleuven.be,2,2
health.bsd.uchicago.edu,2,2
cibio.up.pt,2,2
sdac.harvard.edu,1,1
udc.es,3,3
