ER17001,ER17002,ER17004,ER17022,ER19161,ER19162,ER20064,ER20065,ER20377,ER20378,ER20456,ER21001,ER21002,ER21003,ER21009,ER22534,ER22535,ER23500,ER23501,ER24099,ER24144,ER24145,ER25001,ER25002,ER25003,ER25009,ER26515,ER26516,ER27468,ER27469,ER28037,ER28043,ER36001,ER36002,ER36003,ER36009,ER37533,ER37534,ER40639,ER40640,ER41027,ER41033,ER41034,ER42001,ER42002,ER42003,ER42009,ER43524,ER43525,ER46617,ER46618,ER46935,ER46975,ER46976,ER47301,ER47302,ER47303,ER47309,ER48849,ER48850,ER51978,ER51979,ER52343,ER52399,ER52400,ER53001,ER53002,ER53003,ER53009,ER54592,ER54593,ER57747,ER57748,ER58152,ER58217,ER58218,ER60001,ER60002,ER60003,ER60009,ER61703,ER61704,ER64927,ER64928,ER65349,ER65453,ER65454,ER66001,ER66002,ER66003,ER66009,ER67756,ER67757,ER71047,ER71048,ER71426,ER71532,ER71533,ER72001,ER72002,ER72003,ER72009,ER73779,ER73780,ER77069,ER77070,ER77448,ER77593,ER77594
6,3074,34,7,5,0,0,0,0,0,9624,8,5260,34,7,5,0,0,0,10176,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3133,34,7,5,0,5,0,0,0,25000,8,6234,34,7,5,0,5,0,7792,0,0,6,345,34,7,5,0,0,0,42420,0,7,178,34,7,5,0,5,0,42173,0,0,5,412,34,7,5,0,0,0,41200,0,0,5,550,34,7,5,0,5,0,45689,0,0,3,6441,34,7,5,0,0,0,13044,0,0,1,48,34,7,5,0,0,0,9918,0,0,2,3802,34,7,5,0,0,0,8832,0,0,1,4054,34,7,5,0,0,0,7596,0,0
6,3198,34,7,5,0,0,0,0,0,26338,8,4853,34,7,5,0,0,0,12900,0,0,6,825,34,7,5,0,0,0,13000,0,7,534,34,7,5,0,0,0,13000,0,0,5,470,34,7,5,0,0,0,30000,0,0,5,499,34,7,5,0,0,0,30000,0,0,3,2820,34,7,5,0,0,0,30000,0,0,1,2000,34,7,5,0,0,0,30000,0,0,2,4360,34,7,5,0,0,0,12000,0,0,1,4037,34,7,5,0,0,0,23928,0,0
6,4672,34,7,5,0,0,0,0,0,11360,8,5218,34,7,5,0,5,0,30000,0,0,6,474,34,7,5,0,5,0,21948,0,7,1154,34,7,5,0,0,0,31249,0,0,5,424,34,7,5,0,1,150,44476,0,0,5,21,34,7,1,1053,5,0,30272,0,0,3,4526,34,7,5,0,5,0,46544,0,0,1,2782,34,7,1,1400,0,0,37265,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,562,34,7,5,0,0,0,4326,0,7,1411,34,7,5,0,0,0,26532,0,0,5,576,34,7,5,0,0,0,0,0,0,5,1100,34,7,5,0,0,0,8516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6030,34,7,5,0,0,0,0,0,62108,8,5115,34,7,5,0,0,0,37251,0,0,6,82,34,7,5,0,0,0,25000,0,7,904,34,7,5,0,0,0,47868,0,0,5,272,34,7,1,999998,0,0,99652,0,0,5,43,34,7,5,0,0,0,16950,0,0,3,3305,34,7,5,0,0,0,6000,0,0,1,2733,34,7,5,0,0,0,76214,0,0,2,3831,12,7,5,0,0,0,67000,0,0,,,,,,,,,,,
,,,,,,,,,,,8,6972,34,7,5,0,0,0,20200,0,0,6,586,34,7,5,0,0,0,36000,0,7,887,34,7,5,0,0,0,21850,0,0,5,416,34,7,5,0,0,0,25700,0,0,5,163,34,7,5,0,0,0,69000,0,0,3,6774,34,7,5,0,0,0,35718,0,0,1,1121,34,7,5,0,0,0,11496,0,0,2,4371,34,7,5,0,0,0,14300,0,0,,,,,,,,,,,
6,3075,34,7,5,0,0,0,0,0,3600,,,,,,,,,,,,,,,,,,,,,,7,820,34,7,5,0,0,0,19884,0,0,5,2348,34,7,5,0,0,0,15080,0,0,5,434,34,7,5,0,0,0,20000,0,0,3,6118,34,7,5,0,0,0,13485,0,0,1,3442,34,7,5,0,0,0,15000,0,0,2,4984,34,7,5,0,0,0,40000,0,0,1,4127,34,7,5,0,0,0,25000,0,0
6,3327,34,7,5,0,0,0,0,0,19716,8,6217,34,7,5,0,0,0,23470,0,0,6,154,34,7,5,0,0,0,26500,0,7,211,34,7,5,0,0,0,38660,0,0,5,395,34,7,5,0,0,0,23650,0,0,5,379,34,7,1,0,5,0,28000,0,0,3,4775,34,7,5,0,0,0,44630,0,0,1,4593,34,7,5,0,0,0,30182,0,0,2,4348,34,7,5,0,0,0,5200,0,0,1,3985,34,7,5,0,0,0,9452,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5796,34,7,5,0,0,0,10015,0,0,1,3959,34,7,5,0,0,0,3420,0,0,2,5898,34,7,5,0,0,0,12200,0,0,1,4093,34,7,5,0,0,0,9200,0,0
