osm_id,name,RLIS.reviewed,abandoned,access,addr.postcode,alt_name,area,bicycle,bridge,covered,created_by,destination,embankment,fixme,foot,footway,ford,golf,golf_cart,hgv,highway,horse,lanes,layer,lit,location,man_made,maxspeed,motor_vehicle,motorcar,name_1,name_2,name_3,noexit,noname,note,old_name,oneway,pc_left,pc_right,piste.difficulty,piste.lit,piste.name,piste.type,railway,ref,seasonal,segregated,service,sidewalk,smoothness,source,source.name,substance,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tiger.upload_uuid,tracktype,tunnel,waterway,width
"5039689",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039693",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039694",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039696",Lois Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Lois,,,,,,,,Dr,,,,no,,,,,,,,
"5039698",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039703",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,,
"5039715",,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039720",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039722",Auberts Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039723",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,no,tiger_import_dch_v0.5_20070714,158133030:158133028,,,,,
