individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
89001,2001,101.0,39.0,0.0,72.0,1.0,0.0,89.0,1.0,3.0,1.0,8.0,1.0,1.0,75.0,7075.0,51904.0,437500.0,457500.0,45.792,1999,116.51155462184873,10990.92331932773,80632.20974789916,710720.4831932773
89004,2001,1466.0,13.0,0.0,46.0,2.0,0.0,89.0,4.0,2.0,1.0,8.0,1.0,5.0,0.0,2795.0,19000.0,2500.0,2500.0,53.506,1999,0.0,4341.997268907563,29516.26050420168,3883.718487394958
89006,2001,1791.0,39.0,0.0,37.0,2.0,0.0,89.0,2.0,3.0,1.0,8.0,1.0,5.0,0.0,173.0,36000.0,-12000.0,11000.0,50.011,1999,0.0,268.7533193277311,55925.5462184874,17088.361344537814
89170,2001,1730.0,39.0,0.0,49.0,1.0,1.0,89.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,4950.0,68880.0,111000.0,161000.0,23.613,1999,77.67436974789916,7689.762605042017,107004.21176470589,250111.4705882353
90172,2001,494.0,39.0,0.0,42.0,1.0,2.0,90.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,3500.0,115400.0,202000.0,363000.0,25.783,1999,0.0,5437.2058823529405,179272.44537815126,563915.9243697479
96170,2001,359.0,29.0,1.0,44.0,1.0,2.0,96.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,4300.0,81240.0,61000.0,369000.0,28.586,1999,0.0,6679.995798319327,126205.31596638654,573236.8487394957
98001,2001,686.0,24.0,0.0,53.0,2.0,0.0,98.0,2.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,25260.0,53860.0,138860.0,52.058,1999,0.0,0.0,39241.09159663865,215717.25966386552
99031,2001,860.0,14.0,2.0,25.0,1.0,0.0,99.0,4.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,40717.0,-9600.0,-9600.0,15.819,1999,0.0,0.0,63253.3462605042,-14913.478991596638
99170,2001,2144.0,14.0,0.0,54.0,1.0,0.0,99.0,1.0,5.0,1.0,1.0,1.0,5.0,0.0,225.0,31131.0,-26500.0,3650.0,28.458,1999,0.0,349.53466386554624,48361.616092436976,5670.2289915966385
100020,2001,335.0,24.0,0.0,55.0,1.0,0.0,100.0,1.0,4.0,1.0,8.0,1.0,5.0,0.0,645.0,46038.0,5500.0,35500.0,51.006,1999,0.0,1001.999369747899,71519.45268907562,55148.80252100841
104001,2001,5402.0,16.0,0.0,55.0,1.0,0.0,104.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,500.0,52400.0,316000.0,344000.0,80.085,1999,0.0,776.7436974789915,81402.73949579832,534399.6638655462
