amt_of_cultural_donations,amt_of_community_donations,amt_of_env_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,family_interview_id,psid_state_of_residence_code,family_composition_change,1968_family_identifier,age,sex,number_of_children_in_fu,marital_status,health_status,race,religion,amt_of_religious_donations,amt_of_combo_donations,amt_of_needy_donations,wtr_donated_to_health_org,amt_of_health_donations,amt_of_edu_donations,amt_of_youth_donations,amt_of_cultural_donations,amt_of_env_donations,mcovid1_wtr_donate_to_help_re_pandemic,mcovid2_wtr_pandemic_donations_crowdfund,mcovid3_largest_crowdfund_donation_to,mcovid4_dollar_amt_pandemic_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,individual_id,wtr_donated-2021
0.0,0.0,0.0,0.0,29100.0,40000.0,155000.0,35.737,1,10,2019,4092.0,12.0,0.0,6.0,76.0,1.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,34430.0,29000.0,149000.0,35.737,1,10,2021,6170,5
0.0,0.0,0.0,0.0,243000.0,2550000.0,2700000.0,30.827,2,20,2019,5474.0,24.0,0.0,6.0,66.0,1.0,0.0,1.0,1.0,1.0,9.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,270600.0,3125000.0,3495000.0,30.828,2,20,2021,6172,5
0.0,0.0,100.0,0.0,119000.0,342000.0,342000.0,17.342,2,20,2019,4485.0,24.0,0.0,6.0,40.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,213824.0,2050000.0,2050000.0,17.343,2,20,2021,6177,1
0.0,0.0,0.0,0.0,185200.0,310700.0,384700.0,17.373,2,20,2019,6607.0,26.0,0.0,6.0,37.0,1.0,0.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,221000.0,335000.0,485000.0,17.374,2,20,2021,6181,5
0.0,0.0,0.0,0.0,23928.0,0.0,0.0,83.248,1,10,2019,4057.0,34.0,0.0,7.0,66.0,2.0,0.0,4.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9360.0,0.0,0.0,83.248,1,10,2021,7004,5
0.0,0.0,0.0,0.0,15828.0,0.0,0.0,10.095,2,20,2019,4898.0,34.0,0.0,7.0,60.0,1.0,1.0,1.0,5.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,22284.0,700.0,700.0,10.095,2,20,2021,7030,5
0.0,0.0,0.0,0.0,7200.0,900.0,900.0,19.914,2,20,2019,6582.0,34.0,3.0,7.0,47.0,2.0,0.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16692.0,12000.0,12000.0,19.914,1,10,2021,7033,5
0.0,0.0,0.0,0.0,25000.0,6000.0,6000.0,40.252,1,10,2019,3931.0,34.0,0.0,7.0,46.0,2.0,0.0,4.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,35760.0,500.0,500.0,40.252,1,10,2021,7034,5
0.0,0.0,0.0,0.0,9452.0,-33800.0,-33800.0,21.255,1,10,2019,2135.0,34.0,0.0,7.0,44.0,1.0,0.0,1.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,12910.0,401.0,401.0,21.255,1,10,2021,7035,5
0.0,0.0,0.0,0.0,9200.0,-9400.0,-9400.0,22.881,1,10,2019,4020.0,34.0,0.0,7.0,40.0,2.0,3.0,5.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,70024.0,-10400.0,-10400.0,22.881,1,10,2021,7036,5
0.0,0.0,0.0,0.0,30000.0,4000.0,34000.0,20.814,1,10,2019,8470.0,34.0,0.0,7.0,38.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,75000.0,5000.0,50000.0,20.814,1,10,2021,7038,5
0.0,0.0,0.0,0.0,45000.0,15000.0,15000.0,18.907,1,10,2019,8281.0,34.0,0.0,7.0,34.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,64888.0,30500.0,30500.0,37.813,1,10,2021,7039,5
