individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
166021,2001,6171.0,1.0,1.0,51.0,1.0,2.0,166.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,550.0,97193.0,420000.0,600000.0,34.86,2000,0.0,826.6321138211382,146077.9182520325,901780.4878048782
173170,2001,1117.0,14.0,1.0,48.0,1.0,4.0,173.0,1.0,3.0,1.0,8.0,5.0,5.0,0.0,0.0,41278.0,17500.0,30500.0,23.751,2000,0.0,0.0,62039.49162601626,45840.508130081296
173172,2001,5323.0,14.0,0.0,44.0,1.0,3.0,173.0,1.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,39000.0,20200.0,65200.0,27.274,2000,0.0,0.0,58615.73170731708,97993.47967479675
174005,2001,727.0,14.0,0.0,47.0,1.0,3.0,174.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,1875.0,79185.0,63500.0,120500.0,22.735,2000,112.72256097560975,2818.064024390244,119012.47987804879,181107.581300813
174170,2001,5319.0,26.0,0.0,55.0,1.0,0.0,174.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,1220.0,117500.0,99000.0,164000.0,26.091,2000,0.0,1833.6203252032522,176598.67886178862,246486.6666666667
176170,2001,799.0,45.0,0.0,54.0,1.0,0.0,176.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,1500.0,126955.0,672500.0,672500.0,28.57,2000,0.0,2254.4512195121947,190809.23638211383,1010745.6300813009
180003,2001,2530.0,31.0,8.0,50.0,1.0,3.0,180.0,1.0,2.0,7.0,1.0,1.0,5.0,0.0,500.0,44240.0,6800.0,6800.0,26.114,2000,0.0,751.4837398373984,66491.281300813,10220.178861788618
181003,2001,4452.0,31.0,0.0,43.0,1.0,2.0,181.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,200.0,55649.0,19000.0,105000.0,22.305,2000,0.0,300.5934959349594,83638.63727642277,157811.58536585365
181021,2001,978.0,18.0,0.0,58.0,1.0,0.0,181.0,4.0,3.0,1.0,8.0,1.0,5.0,0.0,500.0,26174.0,19500.0,19500.0,43.333,2000,0.0,751.4837398373984,39338.670813008124,29307.86585365854
186003,2001,856.0,9.0,0.0,54.0,2.0,0.0,186.0,4.0,2.0,1.0,8.0,1.0,5.0,0.0,400.0,67000.0,23000.0,59000.0,65.527,2000,0.0,601.1869918699188,100698.8211382114,88675.081300813
190004,2001,3534.0,37.0,0.0,41.0,2.0,1.0,190.0,2.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,30000.0,1000.0,1000.0,61.053,2000,0.0,0.0,45089.0243902439,1502.9674796747968
190030,2001,4118.0,37.0,1.0,23.0,1.0,2.0,190.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,25300.0,16100.0,20100.0,31.387,2000,0.0,0.0,38025.07723577236,30209.646341463413
190173,2001,2244.0,37.0,0.0,44.0,1.0,0.0,190.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,850.0,81000.0,454000.0,495000.0,26.437,2000,0.0,1277.5223577235772,121740.36585365854,743968.9024390243
197170,2001,297.0,0.0,0.0,52.0,1.0,4.0,197.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,2100.0,25500.0,300.0,300300.0,28.049,2000,0.0,3156.2317073170734,38325.670731707316,451341.1341463415
200004,2001,1610.0,46.0,0.0,42.0,1.0,1.0,200.0,1.0,1.0,1.0,2.0,1.0,1.0,50.0,3400.0,76290.0,476000.0,686000.0,26.248,2000,75.14837398373984,5110.089430894309,114661.38902439024,1031035.6910569107
200030,2001,2282.0,46.0,8.0,22.0,1.0,1.0,200.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,34000.0,-4588.0,-4588.0,12.489,2000,0.0,0.0,51100.89430894309,-6895.614796747968
203172,2001,3477.0,31.0,0.0,41.0,1.0,4.0,203.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,2800.0,120800.0,269000.0,514000.0,27.89,2000,0.0,4208.308943089431,181558.47154471543,772525.2845528455
214003,2001,3106.0,22.0,1.0,34.0,1.0,1.0,214.0,1.0,1.0,1.0,8.0,1.0,1.0,175.0,1155.0,163250.0,562000.0,710000.0,22.668,2000,263.0193089430894,1735.9274390243902,245359.44105691058,1067106.9105691055
218001,2001,2852.0,39.0,0.0,56.0,1.0,0.0,218.0,2.0,4.0,1.0,8.0,1.0,5.0,0.0,200.0,150020.0,-386500.0,-255500.0,50.821,2000,0.0,300.5934959349594,225475.181300813,-384008.19105691055
